|vacancy|is_trainee|is_junior|is_middle|is_senior|is_lead|conditions
0|.NET Developer|0|0|0|0|0|['Оформление по тк рф', 'Обучение и развитие', 'Оплачиваемый отпуск', 'Оформление по тк рб', 'Оплата сертификации', 'Полный рабочий день', 'Дмс для сотрудников', 'Чай, кофе и печенье.', 'Оформление по тк рф.', 'Гибкий график работы', 'Офис в центре города', 'Спортивный комплекс.', 'Высокая оплата труда', 'Дмс со стоматологией', 'Ежеквартальные бонусы', 'Отсутствие бюрократии', 'Профессиональный рост', 'Корпоративные скидки.', 'Социальный пакет, дмс', 'Командные тимбилдинги', 'Отсутствие дресс-кода', 'Медицинская страховка', '∙ коммуникабельность.', 'Дмс, страхование жизни', 'Официальное оформление']
1|.NET Developer|0|0|0|1|0|['-гибкий подход к организации рабочего дня', 'Трудоустройство согласно законодательству', 'Оформление по тк рф с первого рабочего дня', 'Льготный фитнес, корпоративное кредитование', '-официальное трудоустройство согласно тк рф', 'Белая конкурентная зп, официальное оформление', 'Чай, кофе и ништячки в неограниченном количестве', 'Возможность карьерного и профессионального роста.', 'Оформление согласно тк рф, белая заработная плата', 'Наличие удаленного доступа после испытательного срока', 'Бесплатный корпоративный доступ к электронной библиотеке', 'График работы 5/2 с 11 до 20 (возможно с 10.00 до 19.00)', 'Высокий уровень дохода, определяемый по итогам собеседования', 'Доход: оклад по результатам собеседования + квартальные премии', 'Неограниченные возможности самореализации и перспектива роста.', 'Корпоративное кафе с разнообразным меню на завтрак, обед и ужин', 'Медицинская страховка. мобильная связь. обучение и сертификация.', 'Заработная плата обсуждается с успешным кандидатом на собеседовании', 'Полный рабочий день обучение за счёт компании оплачиваемый больничный', 'Возможность влиять на разработку и сразу видеть результат своей работы', 'Высокая заработная плата обсуждается индивидуально, с успешным кандидатом', 'Работа в профессиональной команде самого крупного department store в россии', 'Высокая заработная плата по результатам собеседования + ежеквартальные бонусы', 'Дмс с первого дня работы гибкий подход ко времени начала / окончания рабочего дня', 'Работа в офисе в 10 минутах от ст.м. китай-город, тургеневская, чистые пруды, курская']
2|2D-художник|0|0|0|0|0|['Карьерный рост офис в центре города', 'Отлично оборудованные рабочие места', 'Оформление по тк рф, белая зарплата', 'Возможность профессионального роста', 'Быстрый рост в трендовых направлениях', 'Работа в уютном офисе в центре города', 'Интересные проекты и перспективы роста', '— полный рабочий день, 5 дней в неделю', 'Работа в сильнейшей команде художников', 'Амбициозные цели перед каждым проектом', 'Отпуск 4 недели + официальные праздники.', 'График работы гибкий (40 часов в неделю)', 'Договор подряда с физлизцом/ип. спасибо.', 'Оформление по тк, белая заработная плата', 'Интересные задачи на международном уровне', 'Возможность выбрать удобный график работы', 'Полная занятость, но гибкий график работы', 'Пятидневная рабочая неделя с 9.00 до 18.00', 'Место работы: центр города ростова-на-дону', 'Молодой коллектив и демократичная атмосфера', 'Оформление по тк рф, белая заработная плата', 'Забота о профессиональном росте сотрудников', 'Оклад по результатам собеседования + премии', 'Большое количество сложных, интересных задач', 'Гибкая система оплата труда, денежные бонусы']
3|3D-дизайнер|0|0|0|0|0|['Мощный пк', 'Соцпакет.', 'Пятидневка', 'Оплата дмс', '\u200b\u200b\u200b\u200b\u200b\u200b\u200b&gt', 'Кофемашина', 'График 5/2', 'График 5+2', 'Соц. пакет', 'Соц.пакет.', 'Активность', '— портфолио', 'График 6/1.', 'График: 5/2', 'М. пражская', 'Полный день', 'Pr директору', 'Кофе крепкий', 'Под ключ&#39', 'График (5/2)', 'Премирование', '— море опыта', 'Офис в центре', 'Рабочее место', 'Стабильная зп']
4|ABAP-разработчик|0|0|0|0|0|['Знание английского языка.', 'Полностью удаленная работа', '+5 дней по болезни без б\\л', 'Оформление в штат компании', 'Компенсационный пакет: дмс', 'Испытательный срок 2 месяца', 'Обучение на курсах sap и др.', 'Официальная заработная плата', 'Работа в стабильной компании', 'Расширенный социальный пакет', 'Корпоративная мобильная связь', 'Компенсация питания сотрудника', 'Достойный уровень оплаты труда', 'Возможна 100% удаленная работа', 'Официальное оформление по тк рф', 'Комфортный офис в центре города', 'Офис м. комсомольская/бауманская', 'Работа в команде профессионалом.', 'Дружный коллектив профессионалов.', 'Ставка обсуждается индивидуально.', 'График работы: полный рабочий день', 'Офис в пешей доступности от метро.', 'Социальный пакет, дмс, моб. телефон', 'Страхование жизни с 1-го дня работы', 'Корпоративная мобильная связь и т.д.']
5|Android разработчик|0|0|0|0|0|['Кофе, печеньки', 'Гибкий график.', 'Белая зарплата', 'Стабильная з/п', 'Карьерный рост', 'Офис в тц скала', 'Карьерный рост.', 'Крутые стартапы', 'Оплата сдельная', 'Конкурентная зп', 'Работа по тк рф', 'Оплата отпусков', 'Хорошая команда', 'Совместный отдых', 'Оформление по тк', 'Кофе и печеньки.', 'Полный соц.пакет', 'Полный соц пакет', 'Стабильный доход', 'Тренажерный зал.', 'Опыт работы с git', 'Оклад обсуждается', 'Чай, кофе, фрукты', 'Интересные задачи', 'Чай, кофе, плюшки']
6|Android разработчик|0|0|0|1|0|['Уютный офис в 5 мин. от м. белорусская.', 'Обучение и сертификация за счет компании', 'Свободный релокейт между офисами компании', 'Офис в 7 минутах ходьбы от метро тульская', 'Офисы в центре москвы и санкт-петербурга.', 'Конкурентоспособная белая заработная плата', 'Интересные задачи на развивающемся проекте', 'Стабильная заработная плата: оклад + бонус', 'Оформление по тк рф, белая заработная плата', 'Дисконтная карта на продукцию магазинов сети', 'Формат работы: полный день, удаленная работа', 'Программа льготного кредитования в сбербанке', 'Отсутствие строгого дресс-кода (у нас casual)', 'Офис в 10 минутах пешком от метро фрунзенская', 'Работа в быстрорастущей международной компании', 'Оплачиваемое участие в профильных конференциях', 'Удобный офис рядом со станцией метро кутузовская', 'Возможность пройти обучение (курсы, сертификация)', 'Использование современных технологий и стандартов', 'Дисконт-программы от множества компаний партнеров', 'После испытательного срока медицинское обслуживание', 'Возможность изучения английского языка прямо в офисе', 'Возможность работать с современным стеком технологий', 'Организованное питание в офисе (компенсация питания)', 'Интересные задачи и молодой коллектив профессионалов.']
7|Backend-разработчик|0|0|0|0|0|['Креативная команда', 'Абонемент в фитнес', 'Дружеская атмосфера', 'Оформление по тк рф', 'Внутреннее обучение', 'Компенсация питания', 'Полный рабочий день', 'Пакет акций компании', 'Гибкий график работы', 'Офис в центре города', 'Система премирования', 'Персональное питание', 'Чай, кофе за наш счет', 'График работы: гибкий', 'Удобный график работы', '5/2, с 08:30 до 18:00', 'Место работы бц олимп', 'Оклад + годовой бонус', 'Стабильность компании', 'Официальное оформление', 'Дмс (со стоматологией)', 'Развозка (утро-вечер).', 'Досуг за счет компании', 'Адекватное руководство', 'Повышение квалификации']
8|Business Analyst|0|0|0|0|0|['Оформление в штат согласно законодательству', 'Молодой, дружный коллектив единомышленников', 'Оформление согласно трудовому законодательству', 'Заработная плата на основе ваших навыков и опыта', 'Отличный офис с евроремонтом и собственной кухней', 'Работа над собственными продуктами (не аутсорсинг)', 'Возможность командировок и деловых поездок в европу', 'Постоянное развитие и обмен опытом в сильной команде', 'English classes / обучение английскому 2 раза в неделю', 'Новые технологии и возможность профессионального роста', 'Команда профессионалов, не лишенных юмора и душевности', 'Комфортный офис и приятные условия работы в бизнес-центре', 'Конкурентный уровень дохода в зависимости от вашего опыта', 'Непрерывное обучение и углубление в тематику бизнеса (мфо)', 'Full range of benefits, including medical insurance and lunch', 'Курсы иностранных языков и посещение спортзала за счет компании', 'Работа в международной компании, в новом запуске fintech проекта', 'Перспектива карьерного роста для наиболее эффективных сотрудников', 'Возможность карьерного роста, регулярный пересмотр заработной платы', 'Комфортный офис в центре минска (ст. м якуба коласа, 900 м от цума)', 'Достаточная доля самоиронии, оптимизма и целеустремленность команды', 'Конкурентную зарплату, растущую с повышением квалификации сотрудника', 'Пятидневный гибкий график работы или с 9:00 до 18:00 / с 10 до 19:00', 'On our part, we guarantee a great team and a lot of interesting work', 'Бесплатное изучение английского языка внутри компании, компенсация фитнеса']
9|Customer Service Specialist|0|0|0|0|0|['\u200b\u200b\u200b\u200b\u200b\u200b\u200b возможность работы в международной компании', 'Комфортный современный офис (ст. м. контрактовая пл.)', 'График работы 5/2 с 9:00 до 18:00, по пятницам с 9:00 до 17:00', 'Возможность получить опыт в стабильной международной компании.', 'Предоставление обучения и больших возможностей профессионального развития.', 'Социальный пакет дмс, страхование жизни + страхование от несчастных случаев', 'Профессиональное развитие в стабильной европейской компании в дружном коллективе.', 'Белая заработная плата компенсация расходов на проезд и питание. место работы г.всеволожск', 'Локация северо-запад москвы, есть корпоративный транспорт от метро войковская и из зеленограда.', 'Соц. пакет: бесплатные обеды, дмс, корпоративная мобильный связь, страхование от несчастных случаев', 'График работы – 5/2 (сб и вс), полный рабочий день (начало работы с 08-00 или с 09-00 или 10-00 обсуждается)', 'Оформление по тк рф. оклад от 65 000 руб, ежегодные премии. график: пятидневка с 9 до 18. офис в центре города (м. чернышевская).', 'Локация северо-запад москвы, есть корпоративный транспорт от метро войковская, щукинская, строгино, ж/д станции павшино, из зеленограда.', 'Заработная плата: оклад (полностью белый, размер обсуждается в зависимости от опыта) + годовой бонус + ежегодные индексации заработной платы', 'Работа в международной компании, занимающей лидирующие позиции на рынке конкурентоспособный уровень заработной платы дмс, страхование жизни компенсация питания', 'Оформление: по тк рф в штат компании по срочному договору на период декретного отпуска сотрудника (есть перспективы остаться в компании по истечение этого периода)', 'Компания предоставляет достойную заработную плату. местоположение офиса: г.химки, м. планерная 15 мин. корпоративным транспортом или м. речной вокзал общественным транспортом 15 мин.', 'Работа в крупной международной компании с 9.00 до 18.00 локация: индустриальный парк индиго , корпоративный транспорт от м. теплый стан. зарплатные предложения 65 000 рублей гросс + соцпакет', 'Работа в крупной международной компании с возможностью развития с 9.00 до 18.00 локация: индустриальный парк индиго , корпоративный транспорт от м. теплый стан. зарплатные предложения 65 000 рублей гросс + соцпакет', 'Оформление согласно тк рф. компенсация питания с первого дня работы, дмс после прохождения испытательного срока. место работы г. москва, м. отрадное. график работы 5/2 с 09:00 до 18:00. интересная работа в дружественной атмосфере.', 'Компания предоставляет достойную заработную плату. социальный пакет: добровольное мед.страхование, страхование от несчастного случая, страхование жизни. обеды. местоположение офиса: г.химки м. планерная (10-15 мин. корпоративный транспорт), м.речной вокзал (10-15 мин. общественный транспорт).', 'Работа в международной логистической компании, оказывающей услуги на высоком уровне в соответствии с мировыми стандартами ведения бизнеса интересная работа в команде профессионалов отличные возможности для развития комфортные условия работы, трудоустройство в соответствии с тк, конкурентная заработная плата']
