|vacancy|is_trainee|is_junior|is_middle|is_senior|is_lead|demands
0|.NET Developer|0|0|0|0|0|['Wpf/xaml', 'Git-flow', 'Чай, кофе', '.net core', 'Код на c#', 'Знание ооп', 'Знание sql', 'Git, jira.', 'Без опыта.', 'Знание mvc.', 'Опыт с iot.', 'Angular/react', 'Знание ms sql', 'Понимание ооп', 'Ms sql server', 'Опыт с nosql.', 'Опыт от 4х лет', 'Знание asp.net', 'Понимание linq', 'Microsoft linq', 'Опыт от 2 лет.', 'Ms sql, t-sql.', 'Желательно vba', 'Знание git &amp', 'Microsoft azure', 'Знание html, css', 'Опыт работы с ci', 'Опыт работы с git', 'Опыт работы с xml', 'Javascript, jquery', 'Опыт разработки ис', 'Знания c#, asp.net', 'Интересные проекты', 'Высшее образование', 'Documentdb/cosmosdb', 'Python (желательно)', 'Владение языками c#', 'Опыт настройки ci/cd', 'Опыт работы от 2 лет', 'Подсистемы биллинга.', 'Опыт работы от 3 лет', 'Знание c#, .net core', 'Знание принципов ооп', 'Опыт работы c ms tfs', 'Опыт работы с windows', 'Знание и понимание js', 'Опыт работы в команде', 'Опыт использования orm', 'Опыт работы с windows.', 'Разговорный английский', 'Опыт работы в команде.', 'Участие в code review.', 'Опыт работы с svn, git', 'Опыт работы с бд mssql', 'Понимание диаграмм uml', 'Orm (entity framework)', 'Опыт работы с rabbitmq', 'Опыт работы 1 – 4 года', 'Технический английский', 'Опыт использования wcf', 'Хорошее знание asp.net', 'Опыт работы с git, jira', 'Техническое образование', 'Опыт работы с .net core', 'Опыт разработки c#/.net', 'Опыт работы с wpf (mvvm)', 'Опыт работы с rest, soap', '.net core. понимание ооп', 'Опыт .net framework 4.5+', 'Знание английского языка', 'Глубокое знание языка c#', 'Опыт разработки rest api', 'Знания сетевых протоколов', 'Знание html/css/js/jquery', 'Опыт использования opengl', 'Опыт работы с чужим кодом', 'Знание html/css/bootstrap', 'Опыт работы с asp.net mvc', 'Прояснение целей итерации', 'Умение работать в команде', 'Базовые знания javascript', 'Опыт работы не менее 3 лет', 'Опыт работы с winforms/wpf', 'Опыт написания unit тестов', 'Написание сложных запросов', 'Опыт командной разработки.', 'Уверенное владение с#, sql', 'Опыт работы с базами данных', 'Система бонусов за проекты.', 'Технический английский язык', 'Опыт c микросервисами и etl', 'Опыт работы с wcf, wwf, wif', 'Visual studio 2010 и старше', 'Портфолио предыдущих работ.', 'Опыт проектирования rest api', 'Опыт работы с mvs, tfs, jira', 'Программирование функционала', 'Знания: html/css/jаvаsсriрt.', 'Знание и опыт работы asp.net', 'Поддержка существующего кода', 'Знание фреймворков – asp.net', 'Опыт разработки web-services', 'Опыт написания linq запросов', 'Высшее профильное образование', 'Asp.net mvc, entity framework', 'Опыт по написанию unit-тестов', 'Разработки модели базы данных', 'Образование высшее техническое', 'Высшее техническое образование', 'Знакомство с agile-практиками.', 'Знание паттернов проектирования', 'Практический опыт работы с субд', 'Высшее образование в области it', 'Опыт работы с реляционными субд', 'Sql (mssql или любая другая бд)', 'Умение разбираться в чужом коде', 'Соблюдение сроков, аккуратность', 'Высшее образование в области ит', 'Web services (rest/wcf/web api)', 'Опыт работы с нереляционными бд', 'Разработка служб windows service', 'Опыт работы с postgresql, oracle', 'Умение работать с «чужим» кодом.', 'Знание архитектуры .net, asp.net', 'Опыт использования ci\\cd решений', 'Знание языков с#, знания asp.net', 'Net (1.0-4.5), c#, wcf, winforms', 'Опыт работы с postgresql как плюс', 'Net (1.0-4.5), c#, wcf, winforms.', 'Владение javascript, ajax, jquery', 'Исполнительность, инициативность.', 'Html5, css, js, react или angular', 'Способность работать в коллективе', 'Применение шаблонов проектирования', 'Хорошее знание c# и .net framework', 'Опыт работы с asp.net mvc, web api', 'Опыт программирования от 1-го года', 'Образование высшее(ит/техническое)', 'Опыт работы с гибкими методологиями', 'Опыт работы разработчиком от 1 года', 'Интеграцию с системами ip-телефонии', 'Знание алгоритмов и структур данных', 'Понимание html 5.0, css, javascript', 'Опыт работы с mercurial , bitbucket', 'Опыт в разработке .net 3 лет и выше']
1|.NET Developer|0|0|0|1|0|"['Работа с wpf/winforms.', 'Высшее техническое образование', 'Знание паттернов проектирования', 'Желателен опыт работы с sql/tsql', 'Хорошее знание платформы asp.net', 'Работа с платформой .net от 5 лет', 'Работа с платформой .net от 2 лет', 'C# wcf сервисы asp .net mvc ms sql', 'Опыт написания тестов и работы с ci', 'Знание microsoft sql server( t-sql)', 'Опыт интеграции с внешними системами', 'Требования уверенное знание .net, c#', 'Знание javascript (jquery), angularjs', 'Опыт работы с реляционными базами данных', 'Знания и опыт разработки по методике tdd', 'Глубокие знания платформы .net и языка c#', 'Опыт работы с системой контроля версий git', 'Владение c# и .net framework или .net core', 'Настройка процессов ci/cd на gitlab/jenkins', 'Опыт работы с высоконагруженными системами.', 'Опыт разработки многопользовательских систем', 'Опыт разработки unit-тестов опыт работы с orm', 'Работа с asp.net mvc / webapi желательно core', 'Опыт работы с системами контроля версий (tfvc).', 'Желателен опыт разработки высоконагруженных систем', 'Умение построения sql запросов, хорошее знание tsql', 'Опыт разработки программной логики для ms sql server', 'Настройка процессов ci/cd на teamcity/gitlab/jenkins', 'Готовность развивать уже созданные программные продукты', 'Опыт разработки веб приложений asp.net webapi, asp.net mvc', 'Отличное знание платформы .net и языка программирования c#', 'Знание принципов построения и опыт разработки сервисов (rest, soap)', 'Git. будет плюсом: умение работать с linux, в том числе на .net core', '.net c#, asp.net web api, wpf, orm, linq, xml, json, http(s), ms sql', 'Знание, понимание и следование принципам ооп, паттернам проектирования', 'Умение работать и разрабатывать архитектуру, в том числе микросервисную', 'Умение работать и разрабатывать архитектуру, в том числе микросервисную.', 'Знание и понимание принципов работы entity framework и работы с sql/pg sql', 'Желателен опыт работы с контейнерами и оркестраторами (docker и kubernates).', 'Опыт оптимизации работы приложений, в том числе в части работы с базами данных', 'Используемый стэк: c#, asp.net web api/mvc, entity framework, nhibernate, wcf, di', 'Понимание принципов ооп и знание современных подходов к разработке (ci, solid и т.д.)', 'Желателен опыт работы со средствами автоматизации jenkins, gitlab ci, teamcity и т.д.', 'Желателен опыт работы с инструментами автоматизации разработки (jenkins, teamcity и т.д.).', 'Владение devexpress владение инструментами проектирования опыт разработки мобильных приложений', 'Умение и желание разбираться в новых технологиях, предлагать варианты решения задач. плюсом будет опыт работы с asp.net и javascript', 'Владение инструментами orm (entityframework), linq, опыт анализа производительности и эффективности работы с данными опыт разработки unit-tests', '-приветствуется опыт работы с .net core, linq2db, odata, wcf -владение техническим английским -желателен опыт разработки высоконагруженных, масштабируемых систем', 'Опыт работы с orm (entityframework / dapper), wcf, wepapi знание ms sql server: умение спроектировать структуру бд, писать и оптимизировать sql-запросы и хранимые процедуры', 'Опыт разработки структуры субд понимание технологического цикла разработки по, владение инструментами командной разработки владение инструментами профайлинга умение работать в условиях часто меняющихся требований', 'Понимание di и ioc опыт работы в команде с использованием средств контроля версий. сильные коммуникативные и аналитические навыки готовность и желание изучать новые технологии опыт работы с .net более 5 лет желательно: понимание pki', 'Начальные знания английского знание основ программирования технический склад ума дополнительным плюсом будет: знание одного из языков программирования: java, kotlin, obj-c, swift, c++, ruby, python, sql знание систем управления кодом git технический английский', 'Умение формулировать свои мысли, коммуникабельность. технологии: .net framework 4.7, c#, microsoft sql server 2016, iis, webapi, angular приветствуется: знания winforms для перевода существующих win приложений на web знания паттернов и антипаттернов проектирования', 'Опыт разработки на .net веб-сервисов и веб-приложений опыт проектирования архитектуры решений, на уровне решения в целом и отдельных программных модулей. умение обосновывать предложенную архитектуру по критериям: скорость работы, надёжность, простота расширения функций и модификации', '3+ года опыта работы .net разработчиком опыт работы в agile-команде участие в просмотре кода с использованием bitbucket atlassian tool покрытие кода готового программного продукта с помощью xunit тестов знание английского языка на уровне intermediate и выше (навыки устного и письменного общения) навыки работы в команде', 'Уверенная работа в asp.net фреймворк web mvc понимание работы протокола tcp знание html и css для улучшения интерфейса умение быстро разбираться с новой информацией умение писать документированный и понятный код навыки рационального оценивания и проектирования времени, которое будет затрачено на исполнение поставленных задач', 'Знание ооп и полиморфизма уверенный sql не боятся указателей и ссылок c#, clr, bcl и прочий рихтер linq: entity framework, l2sqlили другие orm юнит и интеграционное тестирование, рефакторинг, tdd ищем в новых сотрудниках: профессиональные навыки порядочность и надежность внутреннюю мотивацию ум и интеллект умение общаться и работать в команде', 'Высшее образование уверенное владение c# (wcf, wpf, webapi, nhibernate), с++ уверенное владение sql (pl/sql) знание основ html, css, javascript опыт использования субд ms sql server, oracle опыт создания юнит-тестов, понимание принципов тестирования умение и желание разбираться в чужом коде навыки работы с системами контроля версий, git, tfs умение работать в команде, обучаемость', '-опыт работы с платформой .net от 2 лет -знание asp.net webapi -уверенное знание ms sql server 2012 и новее -владение языками c#, t-sql -опыт написания асинхронного кода -опыт работы с orm -опыт работы с системами контроля версий -активное использование принципов solid в практической работе -понимание и применение паттернов проектирования -понимание методик юнит-тестирования, опыт работы с современными фреймворками (nunit, mstest и т.п.) -опыт работы с powershell, msbuild', '▪ c# (опыт программирования от 6 лет) ▪ отличные знания ооп (опыт программирования от 6 лет) ▪ asp.net mvc ▪ mssql ▪ orm: dapper, entity framework ▪ уверенные знания git ▪ web верстка css, html5 ▪ интеграция, api, json, xml и т.д. ▪ иностранные языки: английский — средний, профессиональная терминология личные качества: ▪ умение структурировать информацию ▪ умение планировать сроки выполнения задач ▪ аккуратность в коде ▪ умение писать комментарии без ошибок ▪ ответственность', 'Знание шаблонов и принципов проектирования опыт разработки на .net от 5 лет опыт разработки и оптимизации крупных высоконагруженных распределенных систем готовность к расширению технологического стека умение быстро влиться в существующую команду разработки как плюс : опыт разработки фреймворков и платформенных решений опыт создания и поддержки собственных языков программирования опыт работы с субд postgresql опыт работы/администрирования/разработки в linux-среде опыт разработки на с++, node.js', 'Успешный опыт разработки коммерческих проектов на c# (desktop и web) опыт работы с бд (postgresql, microsoft sql server), умение оптимизации запросов знание принципов ооп, паттернов проектирования, алгоритмов и структур данных опыт работы с сетевыми протоколами и форматами (tcp/ip, http, ajax, xml, soap, rest и т.п.) опыт использования систем контроля версий (svn, git) опыт разработки асинхронного (многопоточного) кода опыт использования nunit и resharper опыт написания unit-тестов опыт разработки высоконагруженных проектов является плюсом', 'Высшее образование отличное знание c# (опыт работы более 5-х лет) опыт промышленных разработок более 5-х лет (full-stack .net development) asp.net mvc 4 / 5 + asp.net membership / microsoft identity html 4/5, css 2 (желательно сss3, less) vanilla js, jquery (желательно vue.js или angularjs, знание kendo ui будет плюсом) entity framework 6 (code first) di containers: autofac / owin ms sql server (знание ms analysis services / sql server integration services будет плюсом) vs 2012 2017 знание английского языка на уровне, достаточном для чтения технической документации', 'Обязателен опыт разработки по с использованием: .net framework 4,0 и 4,5 (в объеме asp.net, ado.net, asp.net mvc) c#, t-sql, знание xml, html/dhtml, css, javascript, ajax, js-frameworks (jquery и т.п.). субд microsoft sql server. опыт работы в командах с применением scrum, agile. опыт участия в завершенных коммерческих проектах разработки веб-ориентированных систем для бизнеса в командах от 5 человек. опыт руководства командой от 3 человек. опыт проектирование и разработка больших программных модулей от 2-х лет опыт разработки технической документации (проектной, эксплуатационной).', 'Глубокое понимание принципов ооп и платформы .net asp.net mvc, asp.net web.api, .net core принципы разработки веб приложений и сервисов, включая отказоустойчивость, безопасность и производительность принципы проектирования баз данных, профессиональное владение sql (mysql, mssql) опыт разработки с использованием orm (entity framework, nhibernate) модульное тестирование, включая mocking и ioc/di (nunit, ms tests, autofac, unity, castle windsor) опыт использования vcs (git, svn, tfs) технический английский умение работать в команде, ответственность, инициативность, умение аргументированно отстаивать свою позицию', 'Опыт работы не менее 3 лет в аналогичной должности опыт работы в финансовой сфере приветствуется знание платформы .net framework 4.0 и выше (msvs 2015+) знание и умение применять паттерны проектирования понимание и умение применять принципы mvc хорошие знания ms sql 2012+. проектирование баз данных. понимание и опыт создания wcf-сервисов знание и опыт работы с xml (xsd-схемы, xslt-преобразования) обязательно знание html5, css, js работа с системами контроля версий опыт работы с криптопровайдером криптопро (проверка сертификатов, подписание документов, шифрование-дешифрование) навыки чтения чужого кода, рефакторинг хорошая коммуникабельность высокая ответственность готовность работать в условиях многозадачности, умение быстро переключаться между задачами', 'Навык работы в формате feature owner опыт проектирования архитектуры программных систем хороший практический опыт применения паттернов опыт разработки с использованием следующих технологий: .net core, entity framework core, asp.net mvc, webapi опыт работы с промышленными субд: sql (sql server, postgresql) и nosql (redis, elasticsearch, mongodb) уверенный уровень работы с web-технологиями: html/js/css, mvvm js-фреймворк опыт работы с децентрализованными системами управления исходным кодом желательно: наличие данных навыков не является обязательным, однако наиболее успешные кандидаты могут продемонстрировать некоторые из них: опыт развертывания по в контейнезированном окружении (docker / k8s) понимание шаблонов интеграции корпоративных приложений, архитектурных фреймворков, концепции ddd, service discovery опыт проектирования высоконагруженных приложений наличие хороших примеров исходного кода на github', '· образование: высшее-техническое · знания и опыт самостоятельной подготовки программной архитектуры и модели данных · знания и опыт разработки на c#.net (asp.net|wpf|wcf) · опыт разработки веб-приложений (javascript, jquery, ajaх, html, angularjs, react, bootstrap) · опыт разработки для ms dynamics crm · уверенные знания и опыт работы с t-sql · умение разбираться в чужом коде, производить его доработку и оптимизацию · опыт отладки и устранения ошибок в программных решениях · ответственность · хорошие коммуникативные навыки · английский язык (чтение технической документации) обязанности: · участие в построении архитектуры и оценке трудозатрат на реализацию в рамках задач по модификации dynamics crm, разработке горизонтальных решений · разработка и модификация плагинов, утилит, web-приложений, winи web-сервисов для ms dynamics crm · интеграция ms dynamics crm c другими системами и приложениями (учётные системы, телефония, сайты, онлайн сервисы и т.д.) · оптимизация производительности собственных и сторонних разработок']"
2|2D-художник|0|0|0|0|0|['Показать портфолио', 'Креативное мышление', 'Умение рисовать руками', 'Знание adobe photoshop', 'Опыт работы с 2d-графикой', 'Умение работать в команде.', 'Желание работать в команде', 'Навык работы в разных стилях', 'Наличие художественного вкуса', 'Создание анимации и персонажей', 'Предполагаем наличие портфолио.', 'Желание создавать успешные игры', 'Отличное знание adobe photoshop', 'Базовые знания 3d-моделирования', 'Опыт работы в игровой индустрии', 'Желание и способность к обучению', 'Опыт работы над мобильными играми', 'Владение графическими редакторами', 'Опыт создания визуальных эффектов', '● умение работать в разных стилях', 'Навыки 3d моделирования и анимации.', 'Обязательное умение рисовать руками', 'Умение рисовать от руки на планшете', 'Навык работы на графическом планшете', 'Умение работать в заданной стилистике', '— умение работать в казуальном стиле.', 'Наличие портфолио с игровой тематикой', 'Умение грамотно использовать референсы', 'Умение работать с графическим планшетом', 'Резюме без портфолио не рассматриваются.', 'Знание анатомии, композиции и теории цвета', 'Длительный опыт работы в схожей должности.', 'Отличное знание adobe photoshop обязательно', 'Знание графических программ умение рисовать', 'Художественное образование/курсы обязательно', 'Доведение концептов до финального результата', 'Умение быстро создавать качественную графику', 'Умение работать с графическим планшетом wacom', 'Умение работать в казуальном графическом стиле', 'Знание основ академического рисунка и живописи', 'Знание анатомии, цвета, построения перспективы', 'Пара лет работы, либо несколько выпущенных игр', 'Опыт работы в казуальной или детской стилистике', 'Навык рисунка от руки, знание основ архитектуры', 'Владение графическим редактором adobe photoshop', 'Высокие навыки рисования на графическом планшете', 'Умение рисовать от руки и на графическом планшете', 'Опыт создания пользовательских интерфейсов в играх', 'Сформировавшийся стиль — иллюстрация, не фотореализм', 'Знание illustrator или corel draw будет преимуществом.', 'Обязательный опыт участия в мобильных игровых продуктах', 'Отличное владение графическим редактором adobe photoshop', 'Коммуникабельность, дисциплинированность и ответственность', 'Уверенные знания анатомии человека и животных, их пропорций', 'Умение работать как с большим, так и с маленьким разрешением', 'Креативность, ответственность, адекватное восприятие критики', 'Отрисовка элементов интерфейса (фоны, иконки, кнопки, формы)', 'Опыт работы с графическим планшетом (уверенный пользователь)', 'Наличие портфолио. приветствуется: опыт создания интерфейсов', 'Понимание принципов разработки мобильных игровых интерфейсов.', 'Уверенное владение photoshop или другим графическим редактором', 'Креативность, умение быстро реагировать на поставленные задачи', 'Опыт работы от 2-х лет, наличие качественных работ в портфолио', 'Четкое понимание стилизации, способность работать в разных стилях', 'Навыки рисования от руки и понимание анатомии, композиции и цвета', 'Внимательность, дисциплинированность, желание расти и развиваться', 'Профессиональный уровень владения графическим редактором photoshop', 'Наличие портфолио. обязанности: участие в разработке игрового арта', 'Наличие портфолио. преимуществом будет: художественное образование', 'Опыт работы в игровой индустрии на аналогичной должности от 1 года.', 'Хороший академ: знание анатомии, цвета\\света, построения перспективы', '— умение быстро и красиво рисовать от руки и на графическом планшете', 'Ответственное отношение к качеству своих работ и срокам их выполнения.', 'Опыт работы в игровой индустрии на аналогичной должности — более 2 лет', '— профессиональное владение adobe photoshop, умение работать с текстурами', 'Большой игровой опыт. мы приветствуем: доброжелательное отношение к людям', 'Понимание, что такое современные компьютерные игры и желание их создавать', 'Наличие в портфолио работ на тематику казуальных локаций, антуража, объектов.', 'Владение разными стилями, отличное чувство композиции, формы, освещения и цвета', 'Понимание основных тенденций рынка современных мобильных игр с точки зрения арта', 'Опыт создания концептов персонажей, окружения, пропсов и анимаций знание анатомии', '● профессиональный уровень владения пакетом adobe (основной инструмент photoshop)', '● портфолио. ● высокий уровень рисунка, знание анатомии, композиции и теории цвета', 'Требования — профессиональное владение adobe photoshop, умение работать с текстурами', 'Adobe photoshop – уверенный пользователь, знание adobe aftereffects – приветствуется', 'Понимание принципов композиции и колористики, художественный вкус, внимание к деталям', 'Умение создавать анимацию будет преимуществом (желательно spine) или желание научиться', 'Навык рисунка от руки, знание анатомии, архитектуры и умение следовать заданной стилистике', 'Желание разрабатывать крутые штуки. будет плюсом: минимальный опыт работы с игровыми движками', 'Коммуникабельность улыбчивость общительность грамотная русская речь наличие медицинской книжки', 'Профессиональный уровень владения графическими редакторами photoshop, illustrator (обязательно)', 'Требования к кандидату: свободное владение пакетами для обработки и создания графики и анимации', 'Умение работать в команде. желательно: опыт работы в игровой индустрии на аналогичной должности.', 'Умение быстро презентовать свою идею в виде скетча, быть способным довести скетч до финального арта', 'Отличное владение графическими программами и планшетом. стилистика казуальные игры. работа над игрой', 'Профессиональный уровень владения графическим редактором photoshop (владение illustrator будет плюсом)', 'Выполнить тестовое задание (не больше 1 дня работы). будет плюсом, но не обязательно: умение рисовать руками', 'Навык работы в реалистичном или анимационном стиле. дополнительным преимуществом будет: художественное образование.', '— понимание основных принципов композиции, построения освещения, умение передавать форму и материал объектов и атмосферу сцены', 'Открываете топ гиперказуальных игр -уровень графики должен быть соизмеримый или стремиться к нему (например, вуду, чита, сейгеймз)', 'Подготовка файлов для интеграции в проект. второстепенные задачи: создание фирменных материалов (брошюры, буклеты, презентации и т.п.)', 'Умение работать в различных графических стилях и понимание различной стилистики. предпочтительно — мультипликационный стиль и фотореализм', 'Высокая скорость выполнения задач. основные задачи: дизайн, отрисовка и анимация игр для кроссплатформенного программного обеспечения для детей', 'Знание основ анимации. курсы по анимации и 2д арту будут плюсом adove after effects, adobe photoshop от 1 года опыта в игровой разработке (game dev)', 'Добросовестность ответственность умение быстро обрабатывать и воспринимать большой поток информации. карьерист постоянное личностное развитие и желание обучаться.', 'Желание работать в команде умение работать в различных графических стилях и понимание различной стилистики. предпочтительно — мультипликационный стиль и фотореализм', 'Художественное образование, знание фундаментальных элементов дизайна: теории цвета, анатомии, рисования и живописи. опыт работы с 2d и 3d. приветствуется опыт работы в игровой индустрии.', 'Опыт аналогичной работы в области создания иллюстраций (желательно в детской тематике). знание программ: photoshop, illustrator. обязательно наличие в портфолио (преимущественно в объёме 2d)!', 'Опыт работы на позиции 2d-художника от 3х лет. интерес к игровой индустрии. ведением необходимой художественной документации на проекте. наличие портфолио. профессиональное владение photoshop.', 'Уверенное владение photoshop, illustrator умение рисовать и от руки, и на планшете глубокое понимание ui / ux принципов понимание основ юзабилити пользовательских интерфейсов наличие портфолио', 'Обязательно наличие портфолио. опыт работы в gamedev от 1 года. желательно художественное высшее/среднее образование. обязательное владение вектором. знание основных графических пакетов. умение рисовать иконки вектор.', 'Хороший уровень владения графическим редактором photoshop знание основ анатомии и архитектуры, умение следовать заданной стилистике дисциплинированность, ответственность, умение оценивать сроки выполнения задач и следование им наличие портфолио', 'Опыт работы на игровых проектах не менее одного года. наличие портфолио. уверенные навыки рисования на графическом планшете. умение работать с изометрической графикой. умение выдерживать заданный стиль. профессиональное владение adobe photoshop.', 'Художественное образование. что мы предлагаем: возможность влиять на продукт – мы ищем не просто ремесленника, а художника-исследователя, который будет вместе с нами нырять в неизвестное. горизонтальные связи – у нас маленькая команда и мы легко и быстро принимаем решения. быстрый фидбек – у нас короткий цикл разработки, поэтому на результат своей работы всегда можно посмотреть почти сразу.', '● отличное знание photoshop ● опыт работы 2d художником ● наличие художественного образования ● портфолио: резюме без портфолио рассматриваться не будут ● умение отлично рисовать от руки ● свободное владение графическим планшетом вашим большим плюсом будет: ● опыт работы в геймдеве, в особенности с гипер-казуальными играми для мобильных платформ ● опыт создания 2d анимаций ● знание 3d редакторов', 'Профессиональный уровень работы в продуктах adobe illustrator, xd базовый уровень работы в adobe photoshop опыт работы с репозиториями (git) понимание адаптивной, кроссбраузерной, мобильной вёрстки быть в теме и отслеживать современные тенденции и инновации в разработке сайтов и мобильных приложений умение работать в команде, работать в сжатые сроки, соблюдать дедлайны знание английского языка (другие языки приветствуются)', 'Требования \u200b\u200b\u200b— портфолио обязательно — уверенный рисунок от руки — быстрые скетчи — рисование на планшете — уверенное владение графическим редактором, включая быстрые клавиши. — быстрая скорость работы — адекватное отношение к критике — любовь и страсть к искусству в целом и современной иллюстрации в частности будет плюсом — владение векторными редакторами — навыки покадровой или motion-анимации — основы 3d, любой редактор — художественное образование', 'Опыт работы в adobe photoshop или adobe illustrator. умение создавать красочные фоны и персонажей в мультяшном стиле в детской тематике. художественный вкус, владение чувством композиции, цвета, формы и освещения. креативное мышление, умение принимать решения и выдвигать идеи. задачи: создание ярких и красочных 2d фонов для детских песен на youtube. создание простых и понятных 2d персонажей для детских песен на youtube. выработка стилистики проекта и следование ей.', 'Профильное образование профессиональный уровень владения графическим редактором photoshop навык рисунка от руки, знание анатомии, архитектуры и умение следовать заданной стилистике наличие художественного вкуса опыт работы в игровой индустрии наличие портфолио коммуникативность, дисциплинированность и ответственность приветствуется: наличие в портфолио концептов персонажей, иконок навыки работы в 3d max или любом другом 3d пакете готовность к ненормированному рабочему графику быстрая обучаемость, готовность делиться опытом с коллегами', 'Опыт работы от 1 года любовь в играм, в частности к жанрам strategy, rpg, jrpg, roguelite и dungeon crawler, а также богатый игровой опыт свободное владение графическим пакетом adobe photoshop понимание принципов композиции, перспективы, анатомии, цветности, силуэта, дизайна умение работать в заданной стилистике и понимание разных стилистик и жанров (фентези, sci-fi и тд.) опыт работы с игровыми движками unity или unreal опыт работы с таск-трекерами asana или redmine или jira опыт работы с системами управления версиями git или svn самоконтроль и дисциплина огромное желание сделать крутую игру дополнительно приветствуется: участие в законченных и выпущенных проектах опыт написания расширений для программных продуктов adobe photoshop cc, autodesk 3ds max, autodesk maya опыт создания vfx на основе particle system проактивность']
