|vacancy|is_trainee|is_junior|is_middle|is_senior|is_lead|duties
0|.NET Developer|0|0|0|0|0|['Понимание ооп', 'Работа с msmq', 'Опыт с nosql.', 'Понимание linq', 'Microsoft linq', 'Опыт от 2 лет.', 'Ms sql, t-sql.', 'Желательно vba', 'Знание git &amp', 'Знание html, css', 'Проектирование бд', 'Опыт работы с xml', 'Javascript, jquery', 'Опыт разработки ис', 'Python (желательно)', 'Владение языками c#', 'Кодинг и рефакторинг', 'Опыт настройки ci/cd', 'Опыт работы от 2 лет', 'Опыт работы от 3 лет', 'Разработка нового по', 'Знание принципов ооп', 'Опыт работы c ms tfs', 'Опыт работы с windows', 'Знание и понимание js', 'Опыт работы в команде', 'Опыт работы с windows.', 'Опыт работы в команде.', 'Участие в code review.', 'Опыт работы с svn, git', 'Понимание диаграмм uml', 'Опыт работы с rabbitmq', 'Опыт работы 1 – 4 года', 'Технический английский', 'Опыт использования wcf', 'Хорошее знание asp.net', 'Опыт работы с .net core', 'Опыт работы с wpf, xaml', 'Опыт работы с wpf (mvvm)', '.net core. понимание ооп', 'Знание английского языка', 'Участие в написании кода', 'Опыт разработки rest api', 'Знания сетевых протоколов', 'Опыт использования opengl', 'Опыт работы с чужим кодом', 'Опыт работы с asp.net mvc', 'Умение работать в команде', 'Базовые знания javascript', 'Опыт работы с winforms/wpf', 'Опыт написания unit тестов', 'Написание сложных запросов', 'Уверенное владение с#, sql', 'Опыт работы с базами данных', 'Формирование выборок данных', 'Технический английский язык', 'Знания html/css/jаvаsсriрt.', 'Опыт работы с wcf, wwf, wif', 'Visual studio 2010 и старше', 'Портфолио предыдущих работ.', 'Опыт проектирования rest api', 'Опыт работы с mvs, tfs, jira', 'Знание и опыт работы asp.net', 'Поддержка существующего кода', 'Опыт разработки web-services', 'Опыт написания linq запросов', 'Реализация поставленных задач', 'Доработка существующих систем', 'Уверенные знания sql (ms sql)', 'Code review, code refactoring', 'Опыт по написанию unit-тестов', 'Разработки модели базы данных', 'Разработка сервисов интеграции', 'Ведение системной документации', 'Высшее техническое образование', 'Оптимизация производительности', 'Ведение учета времени в задачах', 'Знание паттернов проектирования', 'Написание парсеров данных (xml)', 'Опыт работы с реляционными субд', 'Sql (mssql или любая другая бд)', 'Умение разбираться в чужом коде', 'Соблюдение сроков, аккуратность', 'Опыт работы с нереляционными бд', 'Разработка служб windows service', 'Умение работать с «чужим» кодом.', 'Опыт использования ci\\cd решений', 'Разработка автоматических тестов', 'Разработка бэкенда, web-сервисов', 'Опыт работы с postgresql как плюс']
1|.NET Developer|0|0|0|1|0|['Опыт интеграции с внешними системами', 'Знание javascript (jquery), angularjs', 'Разработка компонентов системы на .net', 'Знания и опыт разработки по методике tdd', 'Опыт работы с системой контроля версий git', 'Настройка процессов ci/cd на gitlab/jenkins', 'Опыт работы с высоконагруженными системами.', 'Опыт разработки многопользовательских систем', 'Работа с asp.net mvc / webapi желательно core', 'Опыт работы с системами контроля версий (tfvc).', 'Сопровождение существующего программного продукта', 'Умение построения sql запросов, хорошее знание tsql', 'Опыт разработки программной логики для ms sql server', 'Настройка процессов ci/cd на teamcity/gitlab/jenkins', 'Ведение итераций / управление командой разработчиков', 'Готовность развивать уже созданные программные продукты', 'Интеграция с внутренними и внешними системами и сервисами', 'Git. будет плюсом умение работать с linux, в том числе на .net core', 'Знание, понимание и следование принципам ооп, паттернам проектирования', 'Умение работать и разрабатывать архитектуру, в том числе микросервисную', 'Разработка программного обеспечения писать качественный, красивый код', 'Умение работать и разрабатывать архитектуру, в том числе микросервисную.', 'Знание и понимание принципов работы entity framework и работы с sql/pg sql', 'Требования .net c#, asp.net web api, wpf, orm, linq, xml, json, http(s), ms sql', 'Используемый стэк c#, asp.net web api/mvc, entity framework, nhibernate, wcf, di', 'Разработка новых и перевод существующих бизнес-приложений для back office на web', 'Понимание принципов ооп и знание современных подходов к разработке (ci, solid и т.д.)', 'Желателен опыт работы с инструментами автоматизации разработки (jenkins, teamcity и т.д.).', 'Владение devexpress владение инструментами проектирования опыт разработки мобильных приложений', 'Участие в автоматизации тестирования и развертывания. наша цель регулярные и стабильные релизы', 'Соблюдение и развитие единых подходов к разработке, тестированию, интеграции и запуску продуктов', 'Программирование, участие в разработке it-проектов предприятия, поддержка и обслуживание проектов', 'Автоматизация сборки/развертывания наших приложений и сервисов с помощью open-source инструментов', 'Помощь в разработке протоколов обмена с оборудованием. требования работа с платформой .net от 2 лет', 'Помощь в разработке протоколов обмена с оборудованием. требования работа с платформой .net от 5 лет', 'Обеспечение контроля безопасности создаваемых продуктов на всех этапах требования владение c# и .net framework или .net core', 'Разработка автоматизированной банковской системы (абс) внедрение абс у клиентов требования c# wcf сервисы asp .net mvc ms sql', 'Поддержка и доработка существующих приложений и сервисов. требования отличное знание платформы .net и языка программирования c#', 'Умение и желание разбираться в новых технологиях, предлагать варианты решения задач. плюсом будет опыт работы с asp.net и javascript', 'Владение инструментами orm (entityframework), linq, опыт анализа производительности и эффективности работы с данными опыт разработки unit-tests', '-приветствуется опыт работы с .net core, linq2db, odata, wcf -владение техническим английским -желателен опыт разработки высоконагруженных, масштабируемых систем', 'Зоны ответственности соответствие реализации решений требованиям пользователей, разработка архитектуры решений, обеспечение надёжности реализации, контроль качества', 'Опыт работы с orm (entityframework / dapper), wcf, wepapi знание ms sql server умение спроектировать структуру бд, писать и оптимизировать sql-запросы и хранимые процедуры', 'Проектирование и разработка приложений и сервисов на платформе .net (кабинет клиента, портал стажировок, web-приложения для внутреннего использования, интеграционные сервисы)', 'Участие в проектировании и разработке нового функционала существующей системы, связанной с обработкой и управлением продажи электронных билетов и динамическим регулированием тарифов', 'Разработка высоконагруженных систем c использованием c# asp.net web api, mvc, wcf. работа над улучшением и масштабированием системы. участие в поддержке системы. требования высшее техническое образование', 'Опыт разработки структуры субд понимание технологического цикла разработки по, владение инструментами командной разработки владение инструментами профайлинга умение работать в условиях часто меняющихся требований', 'Проектирование архитектуры разработка исходного кода ревью кода организация/оптимизация процессов разработки/тестирования/доставки/ проведение собеседований и подбор участников команды участие в планировании и оценке трудоемкости задач', 'Умение формулировать свои мысли, коммуникабельность. технологии .net framework 4.7, c#, microsoft sql server 2016, iis, webapi, angular приветствуется знания winforms для перевода существующих win приложений на web знания паттернов и антипаттернов проектирования', 'Участие в разработке, code review требования опыт разработки на .net веб-сервисов и веб-приложений опыт проектирования архитектуры решений, на уровне решения в целом и отдельных программных модулей. умение обосновывать предложенную архитектуру по критериям скорость работы, надёжность, простота расширения функций и модификации', 'Разработка программного обеспечения на .net тестирование и исправление ошибок требования начальные знания английского знание основ программирования технический склад ума дополнительным плюсом будет знание одного из языков программирования java, kotlin, obj-c, swift, c++, ruby, python, sql знание систем управления кодом git технический английский', '· участие в построении архитектуры и оценке трудозатрат на реализацию в рамках задач по модификации dynamics crm, разработке горизонтальных решений · разработка и модификация плагинов, утилит, web-приложений, winи web-сервисов для ms dynamics crm · интеграция ms dynamics crm c другими системами и приложениями (учётные системы, телефония, сайты, онлайн сервисы и т.д.) · оптимизация производительности собственных и сторонних разработок', 'Доработка существующего web-приложения ведение документации по проделанной работе работа с постоянно пополняющимся техническим заданием требования уверенная работа в asp.net фреймворк web mvc понимание работы протокола tcp знание html и css для улучшения интерфейса умение быстро разбираться с новой информацией умение писать документированный и понятный код навыки рационального оценивания и проектирования времени, которое будет затрачено на исполнение поставленных задач', '▪ удаленная разработка по на .net стеке требования ▪ c# (опыт программирования от 6 лет) ▪ отличные знания ооп (опыт программирования от 6 лет) ▪ asp.net mvc ▪ mssql ▪ orm dapper, entity framework ▪ уверенные знания git ▪ web верстка css, html5 ▪ интеграция, api, json, xml и т.д. ▪ иностранные языки английский — средний, профессиональная терминология личные качества ▪ умение структурировать информацию ▪ умение планировать сроки выполнения задач ▪ аккуратность в коде ▪ умение писать комментарии без ошибок ▪ ответственность', 'Развивать и поддерживать нагруженный проект backend, devops, баги, мало ui участвовать в проектировании, оценке и приемке писать качественный код с ежедневными релизами без тестировщиков и бизнес-аналитиков требования знание ооп и полиморфизма уверенный sql не боятся указателей и ссылок c#, clr, bcl и прочий рихтер linq entity framework, l2sqlили другие orm юнит и интеграционное тестирование, рефакторинг, tdd ищем в новых сотрудниках профессиональные навыки порядочность и надежность внутреннюю мотивацию ум и интеллект умение общаться и работать в команде', 'Разработка и сопровождение модулей существующего корпоративного (платежные сервисы) и терминального по разработка и сопровождение нового по для автоматизации рабочих процессов требования высшее образование уверенное владение c# (wcf, wpf, webapi, nhibernate), с++ уверенное владение sql (pl/sql) знание основ html, css, javascript опыт использования субд ms sql server, oracle опыт создания юнит-тестов, понимание принципов тестирования умение и желание разбираться в чужом коде навыки работы с системами контроля версий, git, tfs умение работать в команде, обучаемость', 'Участие в проектах в качестве архитектора и ведущего разработчика. проектирование и разработка учетной системы компании (собственная разработка c#, winforms, tsql) выбор используемых технологий. описание работы отдельных модулей и всей системы. проведение исследований и разработка прототипов. координация работы команд разработчиков. code review, тестирование и окончательная проверка по перед релизами. ведение внутренней документации. участие в разработке технической документации. участие в сборе, анализе и документировании требований. разработка «ключевых» программных модулей и компонентов, прототипирование архитектуры решения/по..', 'Разработка веб-приложений, используемых во внутренних процессах компании участие в выработке архитектурных решений участие в тестировании и демонстрации функционала пользователям требования опыт работы не менее 3 лет в аналогичной должности опыт работы в финансовой сфере приветствуется знание платформы .net framework 4.0 и выше (msvs 2015+) знание и умение применять паттерны проектирования понимание и умение применять принципы mvc хорошие знания ms sql 2012+. проектирование баз данных. понимание и опыт создания wcf-сервисов знание и опыт работы с xml (xsd-схемы, xslt-преобразования) обязательно знание html5, css, js работа с системами контроля версий опыт работы с криптопровайдером криптопро (проверка сертификатов, подписание документов, шифрование-дешифрование) навыки чтения чужого кода, рефакторинг хорошая коммуникабельность высокая ответственность готовность работать в условиях многозадачности, умение быстро переключаться между задачами', 'Разработка high-load веб-приложений и rest api на платформе .net и .net core управление полным циклом разработки проектирование, кодирование, сборка, развертывание взаимодействие с другими членами команды и подразделениями участие в анализе требований, разработке планов и оценке технической реализации, подготовке сервисной документации требования глубокое понимание принципов ооп и платформы .net asp.net mvc, asp.net web.api, .net core принципы разработки веб приложений и сервисов, включая отказоустойчивость, безопасность и производительность принципы проектирования баз данных, профессиональное владение sql (mysql, mssql) опыт разработки с использованием orm (entity framework, nhibernate) модульное тестирование, включая mocking и ioc/di (nunit, ms tests, autofac, unity, castle windsor) опыт использования vcs (git, svn, tfs) технический английский умение работать в команде, ответственность, инициативность, умение аргументированно отстаивать свою позицию', '-проектирование и разработка системы поддержки принятия решений на стеке технологий .net и ms sql server -разработка серверной части приложения на языке с# в ide visual studio -разработка структуры таблиц и написание/оптимизация запросов к бд -разработка и проектирование компонентов интеграции с внешними и внутренними системами на базе подходов rest/soap -взаимодействие в команде с использованием средств командной разработки jira, git. -принятие участия в планировании итераций, оценке трудоемкости, выполнение системного анализа требования -опыт работы с платформой .net от 2 лет -знание asp.net webapi -уверенное знание ms sql server 2012 и новее -владение языками c#, t-sql -опыт написания асинхронного кода -опыт работы с orm -опыт работы с системами контроля версий -активное использование принципов solid в практической работе -понимание и применение паттернов проектирования -понимание методик юнит-тестирования, опыт работы с современными фреймворками (nunit, mstest и т.п.) -опыт работы с powershell, msbuild', 'Участие в проектах по разработке по, интеграционных решений работа с применением практик agile-методологии участие в проектировании архитектуры высоконагруженного распределённого по участие в проектировании бд code review и написание тестов помощь в сопровождении процессов ci / cd требования навык работы в формате feature owner опыт проектирования архитектуры программных систем хороший практический опыт применения паттернов опыт разработки с использованием следующих технологий .net core, entity framework core, asp.net mvc, webapi опыт работы с промышленными субд sql (sql server, postgresql) и nosql (redis, elasticsearch, mongodb) уверенный уровень работы с web-технологиями html/js/css, mvvm js-фреймворк опыт работы с децентрализованными системами управления исходным кодом желательно наличие данных навыков не является обязательным, однако наиболее успешные кандидаты могут продемонстрировать некоторые из них опыт развертывания по в контейнезированном окружении (docker / k8s) понимание шаблонов интеграции корпоративных приложений, архитектурных фреймворков, концепции ddd, service discovery опыт проектирования высоконагруженных приложений наличие хороших примеров исходного кода на github', 'Анализ технических и функциональных требований к системам. проектирование программных решений. декомпозиция требований и постановка задач разработчикам, выполнение роли руководителя группы разработки. контроль создания программных систем, соответствия решений изначальным требованиям, архитектуре, технологиям и стандартам. code-review. разработка программных решений. коммуникация с участниками проектной команды (аналитики, инженеры, тестировщики). организация и контроль процесса непрерывной автоматизации и доставки разрабатываемых решений. проведение презентаций создаваемого продукта. участие в процессах технической поддержки продаж решений и услуг (консультирование заказчика, подготовка технико-коммерческих предложений, защита решений). формировать предложения по созданию и развитию технологических направлений деятельности, демо-стендов, а также разработку схем и сценариев их эффективного использования. требования обязателен опыт разработки по с использованием .net framework 4,0 и 4,5 (в объеме asp.net, ado.net, asp.net mvc) c#, t-sql, знание xml, html/dhtml, css, javascript, ajax, js-frameworks (jquery и т.п.). субд microsoft sql server. опыт работы в командах с применением scrum, agile. опыт участия в завершенных коммерческих проектах разработки веб-ориентированных систем для бизнеса в командах от 5 человек. опыт руководства командой от 3 человек. опыт проектирование и разработка больших программных модулей от 2-х лет опыт разработки технической документации (проектной, эксплуатационной).', 'Участие в многолетнем проекте разработки информационной системы для крупного государственного заказчика (более 100.000 инсталляций по всей россии). функциональность системы направлена на решение инфраструктурных задач на крупных предприятиях доставка/установка/обновление по, управление приложениями и ос на удаленных pc, инвентаризация. система разрабатывается с учетом кросс-платформенности. архитектурно система представлена в части взаимодействия с пользователем spa-приложение на react в части управления удаленными компьютерами сеть агентов на .net 4.0/core back-end серверы на .net 4.5 большая часть работ на проекте сосредоточена в рамках .net-разработки. разрабатываются и широко используются внутренние блоки, методики, фреймворки. используемый технологический стек .net 4.0/4.5/core asp.net core mvc, odata react postgresql с++, node.js (крайне ограниченно) проектирование, разработка и тестирование компонентов системы в соответствии с требованиями. рефакторинг и поддержка уже реализованного функционала. требования знание шаблонов и принципов проектирования опыт разработки на .net от 5 лет опыт разработки и оптимизации крупных высоконагруженных распределенных систем готовность к расширению технологического стека умение быстро влиться в существующую команду разработки как плюс опыт разработки фреймворков и платформенных решений опыт создания и поддержки собственных языков программирования опыт работы с субд postgresql опыт работы/администрирования/разработки в linux-среде опыт разработки на с++, node.js']
2|2D-художник|0|0|0|0|0|['Наличие художественного вкуса', 'Предполагаем наличие портфолио.', 'Отрисовку элементов интерфейсов', 'Опыт работы над мобильными играми', 'Владение графическими редакторами', 'Создание концептов для 3d-моделей', 'Создание маркетинговых материалов', 'Участие в разработке игрового арта', 'Внутриигровую графику (паззл-игры)', 'Умение рисовать от руки на планшете', '— умение работать в казуальном стиле.', 'Наличие портфолио с игровой тематикой', 'Создание 2d-контента для мобильных игр', 'Отрисовка концептов моделей и окружения', 'Отрисовка иконок и элементов интерфейса.', 'Резюме без портфолио не рассматриваются.', 'Длительный опыт работы в схожей должности.', 'Скриншоты, иконки, баннеры, аб-тестирование', 'Отличное знание adobe photoshop обязательно', 'Концепты локаций, зданий, антуража, объектов', 'Доведение концептов до финального результата', '— создание художественной стилистики проекта', 'Умение работать с графическим планшетом wacom', 'Создание игровой графики в стилистике проекта', 'Опыт работы в казуальной или детской стилистике', 'Навык рисунка от руки, знание основ архитектуры', 'Упор ложится на качественную отрисовку персонажей', 'Проработка графики с высокой степенью детализации', 'Корректировка текстур 3д-моделей при необходимости', 'Создание концептов казуальных персонажей, окружения', 'Создавать визуальные концепты внутриигровых событий', 'Знание illustrator или corel draw будет преимуществом.', 'Отличное владение графическим редактором adobe photoshop', 'Участвовать в формировании художественного стиля проекта', '— графика с высокой степенью детализации. dominigames.com', 'Верстка интерфейсов. требования опыт работы с 2d-графикой', 'Коммуникабельность, дисциплинированность и ответственность', 'Наличие портфолио. приветствуется опыт создания интерфейсов', 'Уверенные знания анатомии человека и животных, их пропорций', 'Умение работать как с большим, так и с маленьким разрешением', 'Опыт работы с графическим планшетом (уверенный пользователь)', 'Создание графики для мобильных игр от концепта до реализации.', 'Создание базовых концептов героев, предметов, сцен, окружения', 'Понимание принципов разработки мобильных игровых интерфейсов.', 'Опыт работы от 2-х лет, наличие качественных работ в портфолио', 'Создание игровых концептов (персонажи, объекты карты, предметы)', 'Четкое понимание стилизации, способность работать в разных стилях', 'Навыки рисования от руки и понимание анатомии, композиции и цвета', 'Внимательность, дисциплинированность, желание расти и развиваться', 'Создание художественных концептов игровых персонажей и интерфейсов', 'Рисование на компьютере как по собственным, так и по чужим эскизам', 'Опыт работы в игровой индустрии на аналогичной должности от 1 года.', 'Хороший академ знание анатомии, цвета\\света, построения перспективы', '— умение быстро и красиво рисовать от руки и на графическом планшете', 'Взаимодействие с 3d-моделлерами при подготовке скетчей и с разработчиками', '— создание графики для казуальных игр (персонажи, объекты, фоны, интерфейсы)', 'Рисовать маркетинговый арт для казуальных, гиперкаузальных игр (gp, appstore)', 'Наличие в портфолио работ на тематику казуальных локаций, антуража, объектов.', 'Владение разными стилями, отличное чувство композиции, формы, освещения и цвета', 'Отрисовка игрового и сопутствующего игре контента. требования наличие портфолио', 'Опыт создания концептов персонажей, окружения, пропсов и анимаций знание анатомии', 'Adobe photoshop – уверенный пользователь, знание adobe aftereffects – приветствуется', 'Понимание принципов композиции и колористики, художественный вкус, внимание к деталям', 'Навык рисунка от руки, знание анатомии, архитектуры и умение следовать заданной стилистике', 'Желание разрабатывать крутые штуки. будет плюсом минимальный опыт работы с игровыми движками', 'Подготовка графики для программистов. требования художественное образование/курсы обязательно', 'Отрисовку финальных варинтов 2d-артов и интерфейса. требования опыт работы в игровой индустрии', 'Профессиональный уровень владения графическими редакторами photoshop, illustrator (обязательно)', 'Умение быстро презентовать свою идею в виде скетча, быть способным довести скетч до финального арта', 'Создание элементов интерфейса. требования креативность, ответственность, адекватное восприятие критики', 'Профессиональный уровень владения графическим редактором photoshop (владение illustrator будет плюсом)', 'Иллюстрации и полноценные арты. требования профессиональный уровень владения графическим редактором photoshop', 'Знание 2d, 3d анимации навыки моделирования в 2д редакторе требования знание графических программ умение рисовать', 'Создавать графику для казуальных мобильных и социальных игр объекты, декор, персонажей, окружение, интерфейсы, иллюстрации', '— понимание основных принципов композиции, построения освещения, умение передавать форму и материал объектов и атмосферу сцены', '— графика с высокой степенью детализации. требования — профессиональное владение adobe photoshop, умение работать с текстурами', 'Создание handpaint текстур для низкополигональных моделей/ следовать графическому стилю проекта. dзаимодействие с командой разработки.', 'Взаимодействовать с арт-командой и гейм-дизайнерами. требования опыт работы в игровой индустрии на аналогичной должности — более 2 лет', 'Отлично и быстро рисовать. требования отличное владение графическими программами и планшетом. стилистика казуальные игры. работа над игрой', '— графика с высокой степенью детализации. dominigames.com требования — профессиональное владение adobe photoshop, умение работать с текстурами', 'Скетчи и отрисовка рисунков по тексту задания создание концептов персонажей создание контента для инстаграм страницы требования наличие портфолио', 'Знание основ анимации. курсы по анимации и 2д арту будут плюсом adove after effects, adobe photoshop от 1 года опыта в игровой разработке (game dev)', 'Создание игрового арта (от концепта до финала). подготовка промо-арта коллажи, баннеры, иконки. отрисовка элементов игровых интерфейсов. локация, персонажи, предметы, дерево способностей.', 'Создавать концепты персонажей и объектов, рисовать иллюстрации и прочий 2d контент для игр. взаимодействовать с другими художниками студии и арт-директором для получения нужного результата.', 'Рисовать много, часто, разных, соизмеряясь реалиям жизни гиперказуала. требования открываете топ гиперказуальных игр -уровень графики должен быть соизмеримый или стремиться к нему (например, вуду, чита, сейгеймз)', 'Работать в команде под руководством менеджера проекта разработка стилистики проектов разработка объектов и персонажей, интерфейсов разработка 2д анимаций в программе adobe after effects наличие портфолио обязательно! требования умение работать с графическим планшетом', '— нанесение изображения (портрета человека, максимально схожего с реальностью) на бумажные стаканчики за 2 минуты. — поддержание чистоты и порядка рабочего места и зала требования коммуникабельность улыбчивость общительность грамотная русская речь наличие медицинской книжки', 'Создание эскизов обучающих игрушек для детей. прорисовка объемных эскизов 2d в программах photoshop, illustrator. требования опыт аналогичной работы в области создания иллюстраций (желательно в детской тематике). знание программ photoshop, illustrator. обязательно наличие в портфолио (преимущественно в объёме 2d)!', 'Создание графики для мобильных игр (фоновые изображения, персонажи, простое анимирование персонажей, предметы, интерфейсы, иконки и т.д) делать красивы и гармоничный дизайн, учитывая гайдлайны ios и android взаимодействие с разработчиками для предоставления им всей необходимой графики в нужном формате работа в команде умение рисовать flat illustrations', 'Создание локаций и персонажей в стилистике традиционного европейского фэнтези для мобильного проекта требования хороший уровень владения графическим редактором photoshop знание основ анатомии и архитектуры, умение следовать заданной стилистике дисциплинированность, ответственность, умение оценивать сроки выполнения задач и следование им наличие портфолио']
